指标,普通MPNN,六专家融合,融合减普通的95%CI
TM-align RMSD Å,2.53249,2.55045,"+0.01796 [−0.03840, 0.07478]"
TM-score,0.75317,0.75441,"+0.00124 [−0.00471, 0.00737]"
