metric,指标,unit,direction,n_design_pairs,n_backbones,base_mean,marslike_mean,mars_minus_base_mean,mars_minus_base_median,bootstrap_95ci_low,bootstrap_95ci_high,design_pair_improved_pct,backbone_mean_delta_positive_pct,wilcoxon_backbone_p,paired_standardized_effect,BH_q
usalign_rmsd,US-align RMSD,Å,lower,2394,798,2.4260985797827903,2.4442481203007516,0.01814954051796157,0.0,-0.017088868003341688,0.05333803258145363,49.2063492063492,52.38095238095239,0.3798859431895836,0.03547154141473239,0.3798859431895836
full_length_kabsch_rmsd,全长Kabsch RMSD,Å,lower,2394,798,10.955605607667787,11.196580265966283,0.2409746582984952,0.05105992752409583,-0.06562448101915228,0.5481075221367985,47.82790309106099,55.012531328320804,0.02540138480306435,0.05402391429750157,0.029634948936908406
tm_score,TM-score,,higher,2394,798,0.7699760233918128,0.7654775647451963,-0.00449845864661654,-0.0009399999999999964,-0.008457079678362574,-0.0005313370927318275,48.16207184628237,44.611528822055135,0.028998610696936745,-0.07788714000272395,0.031229273058239575
gdt_ts,GDT-TS,%,higher,2394,798,67.09274942021874,66.32914720995467,-0.7636022102640816,-0.28104079828217365,-1.3255165500306012,-0.2062471115680431,45.781119465329986,43.48370927318296,0.0006625982091759103,-0.09369049339033099,0.0009276374928462745
mean_plddt,平均pLDDT,,higher,2394,798,87.1079728903627,87.23833221466022,0.1303593242975108,-0.2987712621688843,-0.17761603511291024,0.439084534943353,42.9406850459482,38.59649122807017,3.178440935645405e-05,0.02909415175806458,4.9442414554484075e-05
ptm,pTM,,higher,2394,798,0.7381732414228377,0.7348749748677788,-0.003298266555058927,-0.0019403845071792047,-0.0074769461749988305,0.0008956446395618953,44.8203842940685,42.73182957393484,0.001193748568398613,-0.05497135007729345,0.001519316359780053
surface_STNQDE_ratio,表面STNQDE比例,fraction,descriptive,2394,798,0.29246949897301616,0.3188978951836005,0.026428396210584335,0.024461900007471296,0.021553542883068738,0.03137488921443391,,72.93233082706767,1.4696472340760091e-37,0.37710955913214156,4.115012255412825e-37
surface_STNQDE_abs_distance,STNQDE到参考距离,absolute fraction,lower,2394,798,0.11191717606350234,0.09326607748832107,-0.01865109857518126,-0.015123317542672342,-0.02274691404802226,-0.014680493930545447,62.15538847117794,33.959899749373434,8.138388221183985e-24,-0.31883646705132956,1.627677644236797e-23
surface_MC_ratio,表面Met/Cys比例,fraction,descriptive,2394,798,0.003458449642796508,0.008154985843394266,0.004696536200597757,0.0042826748835332,0.00431783661281928,0.005074925149868692,,86.09022556390977,1.4614556093225442e-98,0.863083761801166,1.023018926525781e-97
surface_MC_abs_distance,Met/Cys到参考距离,absolute fraction,lower,2394,798,0.025041407115995062,0.02070814801371175,-0.004333259102283307,-0.004024161160772149,-0.004683028788180813,-0.003986642740779875,71.88805346700083,12.030075187969924,1.9956644318942078e-94,-0.8647741737735218,9.313100682172969e-94
sequence_recovery_pct,Sequence recovery,%,descriptive,2394,798,37.91069967888129,41.24208476792353,3.331385089042241,2.7861332862876544,3.0607717998231054,3.6186206116303703,,88.7218045112782,2.516774698800211e-107,0.8347622762169931,3.5234845783202953e-106
novelty_excl_parent_pct,排除亲本后的新颖性,%,higher,2394,798,77.46411901393064,77.00457300719464,-0.45954600673601187,-0.7004920820787248,-0.9775577254335582,0.07568577835063688,40.01670843776107,39.22305764411028,5.360877719528607e-06,-0.060609979326905726,9.381536009175063e-06
aggregate_six_label_score,六标签综合平均分,probability,higher,2394,798,0.626557945375222,0.6686840093889399,0.04212606401371777,0.025163014729817745,0.03656970286180102,0.04777379584026947,66.12364243943192,69.42355889724311,2.2780034859179214e-41,0.5251530451007335,7.973012200712725e-41
six_label_distance_to_reference,六维评分到原始序列距离,L2,lower,2394,798,0.9568768052766939,0.8361002783565057,-0.12077652692018821,-0.054825040468875014,-0.1398666563856303,-0.10203858536775084,63.11612364243943,33.45864661654135,7.441836434443053e-30,-0.4439105715945761,1.7364285013700455e-29
