seed,metric,指标,base_mean,marslike_mean,mars_minus_base_mean,positive_delta_pct
42,usalign_rmsd,US-align RMSD,2.4084210526315792,2.4285588972431076,0.020137844611528833,48.87218045112782
42,full_length_kabsch_rmsd,全长Kabsch RMSD,11.162589357928605,11.126517723952333,-0.036071633976272284,49.74937343358396
42,tm_score,TM-score,0.7710980827067669,0.767813671679198,-0.0032844110275689203,48.87218045112782
42,gdt_ts,GDT-TS,67.07647777509104,66.45090010149367,-0.6255776735973715,45.11278195488722
42,mean_plddt,平均pLDDT,87.2960894254216,87.38581202083961,0.08972259541800759,43.48370927318296
42,ptm,pTM,0.7393988348674356,0.7375669145214379,-0.0018319203459977516,44.3609022556391
42,surface_STNQDE_ratio,表面STNQDE比例,0.29288165087415857,0.31938488807682597,0.026503237202667396,66.29072681704261
42,surface_STNQDE_abs_distance,STNQDE到参考距离,0.11158365611881027,0.09413579665305108,-0.01744785946575918,37.59398496240601
42,surface_MC_ratio,表面Met/Cys比例,0.003473762907287305,0.008257248824717877,0.004783485917430573,72.30576441102757
42,surface_MC_abs_distance,Met/Cys到参考距离,0.024917037502473375,0.020539539544614058,-0.004377497957859313,16.666666666666664
42,sequence_recovery_pct,Sequence recovery,38.03079547655014,41.291533958763246,3.2607384822131085,83.33333333333334
42,novelty_excl_parent_pct,排除亲本后的新颖性,77.56512431424974,77.00572428327727,-0.5594000309724573,39.72431077694235
42,aggregate_six_label_score,六标签综合平均分,0.6255777694826437,0.6710237455846074,0.04544597610196374,67.29323308270678
42,six_label_distance_to_reference,六维评分到原始序列距离,0.9568064766305042,0.8365418378551442,-0.1202646387753599,34.962406015037594
43,usalign_rmsd,US-align RMSD,2.4282456140350877,2.466127819548872,0.037882205513784455,51.127819548872175
43,full_length_kabsch_rmsd,全长Kabsch RMSD,10.886773881870045,11.097927234442528,0.21115335257248316,51.50375939849624
43,tm_score,TM-score,0.7704514035087721,0.7645237719298246,-0.0059276315789473675,47.61904761904761
43,gdt_ts,GDT-TS,67.35588343779985,66.22051991139573,-1.1353635264041142,44.23558897243108
43,mean_plddt,平均pLDDT,87.00824461335826,87.16949541168404,0.16125079832578976,43.48370927318296
43,ptm,pTM,0.7368666495670352,0.733276497171188,-0.003590152395847147,45.363408521303256
43,surface_STNQDE_ratio,表面STNQDE比例,0.2917686083713681,0.31776936095767117,0.026000752586303053,67.66917293233082
43,surface_STNQDE_abs_distance,STNQDE到参考距离,0.11281876864324444,0.09335556606476425,-0.019463202578480186,37.84461152882205
43,surface_MC_ratio,表面Met/Cys比例,0.0034066734265911073,0.008264627746204801,0.0048579543196136925,74.18546365914787
43,surface_MC_abs_distance,Met/Cys到参考距离,0.025142586845606843,0.020651240752078862,-0.004491346093527981,16.040100250626566
43,sequence_recovery_pct,Sequence recovery,37.92566457666989,41.24159198857454,3.3159274119046556,82.70676691729322
43,novelty_excl_parent_pct,排除亲本后的新颖性,77.54953115883926,76.93781387778601,-0.6117172810532436,39.473684210526315
43,aggregate_six_label_score,六标签综合平均分,0.6255355990719775,0.6669019411878977,0.041366342115920086,65.78947368421053
43,six_label_distance_to_reference,六维评分到原始序列距离,0.958736251403509,0.8371433357873523,-0.12159291561615655,37.96992481203007
44,usalign_rmsd,US-align RMSD,2.4416290726817045,2.4380576441102755,-0.0035714285714285644,49.122807017543856
44,full_length_kabsch_rmsd,全长Kabsch RMSD,10.81745358320471,11.365295839503984,0.5478422562992746,55.26315789473685
44,tm_score,TM-score,0.7683785839598999,0.7640952506265665,-0.004283333333333332,47.99498746867168
44,gdt_ts,GDT-TS,66.84588704776534,66.31602161697458,-0.5298654307907592,47.99498746867168
44,mean_plddt,平均pLDDT,87.01958463230827,87.15968921145699,0.14010457914873506,41.854636591478695
44,ptm,pTM,0.7382542398340421,0.7337815129107103,-0.004472726923331881,44.73684210526316
44,surface_STNQDE_ratio,表面STNQDE比例,0.2927582376735219,0.3195394365163044,0.026781198842782544,67.54385964912281
44,surface_STNQDE_abs_distance,STNQDE到参考距离,0.1113491034284523,0.0923068697471479,-0.01904223368130442,36.46616541353384
44,surface_MC_ratio,表面Met/Cys比例,0.003494912594511112,0.007943080959260116,0.004448168364749004,70.92731829573935
44,surface_MC_abs_distance,Met/Cys到参考距离,0.02506459699990497,0.02093366374444234,-0.004130933255462628,15.538847117794486
44,sequence_recovery_pct,Sequence recovery,37.77563898342384,41.193128356432794,3.4174893730089586,83.70927318295739
44,novelty_excl_parent_pct,排除亲本后的新颖性,77.27770156870294,77.07018086052062,-0.20752070818233487,40.852130325814535
44,aggregate_six_label_score,六标签综合平均分,0.628560467571045,0.6681263413943145,0.03956587382326947,65.28822055137844
44,six_label_distance_to_reference,六维评分到原始序列距离,0.9550876877960686,0.8346156614270205,-0.12047202636904815,37.719298245614034
